Geo,Year,HighCarSvcCost.2010,LowCarSvcCost.2010,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp
Fulton,2015,1,3,4,0.75,1
Cherokee,2015,1,3,4,0.75,1
Clayton,2015,1,3,4,0.75,1
Cobb,2015,1,3,4,0.75,1
DeKalb,2015,1,3,4,0.75,1
Douglas,2015,1,3,4,0.75,1
Fayette,2015,1,3,4,0.75,1
Gwinnett,2015,1,3,4,0.75,1
Henry,2015,1,3,4,0.75,1
Rockdale,2015,1,3,4,0.75,1
Barrow,2015,1,3,4,0.75,1
Bartow,2015,1,3,4,0.75,1
Carroll,2015,1,3,4,0.75,1
Coweta,2015,1,3,4,0.75,1
Forsyth,2015,1,3,4,0.75,1
Hall,2015,1,3,4,0.75,1
Newton,2015,1,3,4,0.75,1
Paulding,2015,1,3,4,0.75,1
Spalding,2015,1,3,4,0.75,1
Walton,2015,1,3,4,0.75,1
Fulton,2050,1,3,2,0.75,1
Cherokee,2050,1,3,2,0.75,1
Clayton,2050,1,3,2,0.75,1
Cobb,2050,1,3,2,0.75,1
DeKalb,2050,1,3,2,0.75,1
Douglas,2050,1,3,2,0.75,1
Fayette,2050,1,3,2,0.75,1
Gwinnett,2050,1,3,2,0.75,1
Henry,2050,1,3,2,0.75,1
Rockdale,2050,1,3,2,0.75,1
Barrow,2050,1,3,2,0.75,1
Bartow,2050,1,3,2,0.75,1
Carroll,2050,1,3,2,0.75,1
Coweta,2050,1,3,2,0.75,1
Forsyth,2050,1,3,2,0.75,1
Hall,2050,1,3,2,0.75,1
Newton,2050,1,3,2,0.75,1
Paulding,2050,1,3,2,0.75,1
Spalding,2050,1,3,2,0.75,1
Walton,2050,1,3,2,0.75,1
