Geo,Year,ElectricityCI
Fulton,2015,153
Cherokee,2015,153
Clayton,2015,153
Cobb,2015,153
DeKalb,2015,153
Douglas,2015,153
Fayette,2015,153
Gwinnett,2015,153
Henry,2015,153
Rockdale,2015,153
Barrow,2015,153
Bartow,2015,153
Carroll,2015,153
Coweta,2015,153
Forsyth,2015,153
Hall,2015,153
Newton,2015,153
Paulding,2015,153
Spalding,2015,153
Walton,2015,153
Fulton,2050,23
Cherokee,2050,23
Clayton,2050,23
Cobb,2050,23
DeKalb,2050,23
Douglas,2050,23
Fayette,2050,23
Gwinnett,2050,23
Henry,2050,23
Rockdale,2050,23
Barrow,2050,23
Bartow,2050,23
Carroll,2050,23
Coweta,2050,23
Forsyth,2050,23
Hall,2050,23
Newton,2050,23
Paulding,2050,23
Spalding,2050,23
Walton,2050,23
