Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
Fulton,2015,0,0,12,0,0,0
Cherokee,2015,0,0,4,0,0,0
Clayton,2015,0,0,4,0,0,0
Cobb,2015,0,0,6,0,0,0
DeKalb,2015,0,0,8,0,0,0
Douglas,2015,0,0,2,0,0,0
Fayette,2015,0,0,2,0,0,0
Gwinnett,2015,0,0,6,0,0,0
Henry,2015,0,0,3,0,0,0
Rockdale,2015,0,0,2,0,0,0
Barrow,2015,0,0,2,0,0,0
Bartow,2015,0,0,4,0,0,0
Carroll,2015,0,0,4,0,0,0
Coweta,2015,0,0,4,0,0,0
Forsyth,2015,0,0,3,0,0,0
Hall,2015,0,0,3,0,0,0
Newton,2015,0,0,2,0,0,0
Paulding,2015,0,0,3,0,0,0
Spalding,2015,0,0,2,0,0,0
Walton,2015,0,0,2,0,0,0
Fulton,2050,0,0,12,0,0,0
Cherokee,2050,0,0,4,0,0,0
Clayton,2050,0,0,4,0,0,0
Cobb,2050,0,0,6,0,0,0
DeKalb,2050,0,0,8,0,0,0
Douglas,2050,0,0,2,0,0,0
Fayette,2050,0,0,2,0,0,0
Gwinnett,2050,0,0,6,0,0,0
Henry,2050,0,0,3,0,0,0
Rockdale,2050,0,0,2,0,0,0
Barrow,2050,0,0,2,0,0,0
Bartow,2050,0,0,4,0,0,0
Carroll,2050,0,0,4,0,0,0
Coweta,2050,0,0,4,0,0,0
Forsyth,2050,0,0,3,0,0,0
Hall,2050,0,0,3,0,0,0
Newton,2050,0,0,2,0,0,0
Paulding,2050,0,0,3,0,0,0
Spalding,2050,0,0,2,0,0,0
Walton,2050,0,0,2,0,0,0
