Geo,Year,PropSovDvmtDiverted
Fulton,2015,0
Cherokee,2015,0
Clayton,2015,0
Cobb,2015,0
DeKalb,2015,0
Douglas,2015,0
Fayette,2015,0
Gwinnett,2015,0
Henry,2015,0
Rockdale,2015,0
Barrow,2015,0
Bartow,2015,0
Carroll,2015,0
Coweta,2015,0
Forsyth,2015,0
Hall,2015,0
Newton,2015,0
Paulding,2015,0
Spalding,2015,0
Walton,2015,0
Fulton,2050,0
Cherokee,2050,0
Clayton,2050,0
Cobb,2050,0
DeKalb,2050,0
Douglas,2050,0
Fayette,2050,0
Gwinnett,2050,0
Henry,2050,0
Rockdale,2050,0
Barrow,2050,0
Bartow,2050,0
Carroll,2050,0
Coweta,2050,0
Forsyth,2050,0
Hall,2050,0
Newton,2050,0
Paulding,2050,0
Spalding,2050,0
Walton,2050,0
