Geo,Year,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime
Fulton,2015,3,10,45
Cherokee,2015,3,10,45
Clayton,2015,3,10,45
Cobb,2015,3,10,45
DeKalb,2015,3,10,45
Douglas,2015,3,10,45
Fayette,2015,3,10,45
Gwinnett,2015,3,10,45
Henry,2015,3,10,45
Rockdale,2015,3,10,45
Barrow,2015,3,10,45
Bartow,2015,3,10,45
Carroll,2015,3,10,45
Coweta,2015,3,10,45
Forsyth,2015,3,10,45
Hall,2015,3,10,45
Newton,2015,3,10,45
Paulding,2015,3,10,45
Spalding,2015,3,10,45
Walton,2015,3,10,45
Fulton,2050,3,10,45
Cherokee,2050,3,10,45
Clayton,2050,3,10,45
Cobb,2050,3,10,45
DeKalb,2050,3,10,45
Douglas,2050,3,10,45
Fayette,2050,3,10,45
Gwinnett,2050,3,10,45
Henry,2050,3,10,45
Rockdale,2050,3,10,45
Barrow,2050,3,10,45
Bartow,2050,3,10,45
Carroll,2050,3,10,45
Coweta,2050,3,10,45
Forsyth,2050,3,10,45
Hall,2050,3,10,45
Newton,2050,3,10,45
Paulding,2050,3,10,45
Spalding,2050,3,10,45
Walton,2050,3,10,45
