Geo,Year,SFDU,MFDU,GQDU
D1,2015,47648,12023,1
D2,2015,27295,13961,1
D3,2015,27906,17931,1
D4,2015,18537,25796,1
D5,2015,16998,12135,1
D6,2015,15504,31928,1
D7,2015,27289,11839,1
D8,2015,2630,4160,1
D9,2015,17383,11765,1
D10,2015,15548,3504,1
D11,2015,15285,8426,1
D12,2015,24815,7310,1
D15,2015,7256,754,1
D16,2015,3281,350,1
D17,2015,33461,3250,1
D18,2015,34537,2911,1
D21,2015,3090,1377,1
D22,2015,23328,9073,1
D23,2015,24733,4770,1
D24,2015,24852,4009,1
D31,2015,56754,5958,1
D32,2015,57776,851,1
D33,2015,25617,2536,1
D34,2015,17753,8980,1
D35,2015,29385,28084,1
D36,2015,38115,8113,1
D41,2015,32526,23469,1
D43,2015,18757,13365,1
D44,2015,33973,19027,1
D45,2015,6931,5960,1
D46,2015,4935,3801,1
D47,2015,24189,7622,1
D48,2015,37785,5616,1
D49,2015,32326,6774,1
D51,2015,21009,2504,1
D52,2015,23898,3739,1
D61,2015,18815,1469,1
D62,2015,17736,1428,1
D71,2015,63224,5178,1
D72,2015,66204,17254,1
D73,2015,31390,2670,1
D74,2015,34277,17053,1
D75,2015,23030,5971,1
D76,2015,37188,1362,1
D81,2015,21620,2242,1
D82,2015,17417,1629,1
D83,2015,32774,3554,1
D91,2015,13497,1184,1
D92,2015,15514,2097,1
D101,2015,14423,1055,1
D102,2015,11229,763,1
D111,2015,6927,689,1
D112,2015,4368,348,1
D113,2015,6664,493,1
D114,2015,19651,1894,1
D121,2015,10063,1744,1
D122,2015,5669,1164,1
D123,2015,17710,3254,1
D124,2015,3035,526,1
D131,2015,8962,1133,1
D132,2015,27704,2794,1
D133,2015,3725,506,1
D134,2015,6406,694,1
D141,2015,16182,921,1
D142,2015,35311,1862,1
D143,2015,19527,744,1
D151,2015,12256,1811,1
D152,2015,26784,4202,1
D153,2015,22081,2975,1
D163,2015,30424,4038,1
D164,2015,4464,506,1
D171,2015,11083,728,1
D172,2015,5937,546,1
D173,2015,33067,2540,1
D181,2015,11560,1860,1
D182,2015,10309,1406,1
D191,2015,15366,806,1
D192,2015,14233,1152,1
D1,2050,60922,14555,1
D2,2050,34890,15762,1
D3,2050,37981,22290,1
D4,2050,31544,39414,1
D5,2050,30116,18311,1
D6,2050,30077,56539,1
D7,2050,32232,12838,1
D8,2050,7676,11707,1
D9,2050,24575,14154,1
D10,2050,19907,4525,1
D11,2050,21384,10203,1
D12,2050,28821,7637,1
D15,2050,12796,1248,1
D16,2050,6240,644,1
D17,2050,72875,6852,1
D18,2050,51131,4339,1
D21,2050,3361,1249,1
D22,2050,26218,8608,1
D23,2050,26744,4776,1
D24,2050,28747,4285,1
D31,2050,64317,6643,1
D32,2050,78830,1393,1
D33,2050,29178,2873,1
D34,2050,26748,11203,1
D35,2050,44820,36528,1
D36,2050,40020,8233,1
D41,2050,47678,28612,1
D43,2050,27607,18455,1
D44,2050,50256,23483,1
D45,2050,10086,9024,1
D46,2050,8114,5800,1
D47,2050,28218,8578,1
D48,2050,39374,6756,1
D49,2050,34498,7126,1
D51,2050,28684,3144,1
D52,2050,32223,4388,1
D61,2050,27660,2054,1
D62,2050,22254,1703,1
D71,2050,133653,12103,1
D72,2050,117468,32383,1
D73,2050,47069,4306,1
D74,2050,65596,28349,1
D75,2050,47293,10915,1
D76,2050,55909,2466,1
D81,2050,32530,2716,1
D82,2050,27005,2069,1
D83,2050,63368,5306,1
D91,2050,19100,1406,1
D92,2050,20334,2359,1
D101,2050,2662,1674,1
D102,2050,1835,970,1
D111,2050,10793,976,1
D112,2050,6319,465,1
D113,2050,10676,772,1
D114,2050,28186,2533,1
D121,2050,14092,2220,1
D122,2050,7668,1529,1
D123,2050,21929,3818,1
D124,2050,4794,807,1
D131,2050,15012,1816,1
D132,2050,42980,4270,1
D133,2050,6638,892,1
D134,2050,10647,1160,1
D141,2050,55775,3076,1
D142,2050,91285,4660,1
D143,2050,41502,1778,1
D151,2050,2803,674,1
D152,2050,7335,1515,1
D153,2050,6276,1357,1
D163,2050,43582,4784,1
D164,2050,7232,649,1
D171,2050,19459,1290,1
D172,2050,11379,929,1
D173,2050,56104,4024,1
D181,2050,16964,2737,1
D182,2050,13608,1839,1
D191,2050,23976,1230,1
D192,2050,10464,1721,1
