Geo,Year,TotEmp,RetEmp,SvcEmp
D1,2015,119772,24726,48837
D2,2015,47062,12741,19712
D3,2015,118791,14631,61826
D4,2015,112606,29242,51396
D5,2015,39551,6432,11024
D6,2015,118343,23220,58276
D7,2015,33930,7265,11866
D8,2015,147248,15137,77977
D9,2015,29286,4296,12457
D10,2015,18419,2084,4257
D11,2015,58292,10101,16129
D12,2015,28703,7794,8700
D15,2015,1788,196,1116
D16,2015,1449,83,530
D17,2015,35878,10513,13959
D18,2015,30633,10521,12151
D21,2015,60051,5769,7431
D22,2015,53968,11399,11940
D23,2015,14691,4450,7784
D24,2015,24848,5172,10162
D31,2015,82333,25910,30791
D32,2015,60606,13859,29411
D33,2015,15030,3744,6096
D34,2015,65880,6549,32192
D35,2015,134136,27454,56583
D36,2015,40130,9017,19824
D41,2015,106126,23776,43925
D43,2015,84828,8997,59987
D44,2015,79479,12576,34889
D45,2015,7347,2395,3220
D46,2015,12672,2061,6943
D47,2015,21632,4898,8712
D48,2015,21937,3933,6588
D49,2015,29867,8339,11025
D51,2015,19399,8709,6633
D52,2015,31925,6924,12205
D61,2015,30674,6384,12469
D62,2015,22585,7191,10024
D71,2015,70229,19538,22641
D72,2015,136413,32034,60095
D73,2015,15502,3584,5770
D74,2015,113420,16524,40814
D75,2015,22379,6790,9740
D76,2015,30412,11142,15013
D81,2015,21371,6130,10809
D82,2015,5777,1134,3524
D83,2015,40395,10217,14467
D91,2015,5469,1087,2422
D92,2015,34537,8778,12433
D101,2015,14920,4943,4916
D102,2015,7888,1353,2607
D111,2015,3917,1045,1312
D112,2015,3783,431,732
D113,2015,3342,223,1079
D114,2015,33336,7004,11674
D121,2015,11293,2510,3625
D122,2015,5325,2001,1225
D123,2015,36646,7287,16884
D124,2015,1440,202,662
D131,2015,6193,1443,2790
D132,2015,33954,11829,10822
D133,2015,2509,1122,464
D134,2015,2128,343,756
D141,2015,8772,1260,5136
D142,2015,36160,7847,15741
D143,2015,37109,5526,14073
D151,2015,6802,822,2428
D152,2015,63094,9914,27073
D153,2015,26682,6040,7977
D163,2015,29591,7009,10454
D164,2015,1618,445,642
D171,2015,5952,1082,1413
D172,2015,1363,175,519
D173,2015,25513,7265,11892
D181,2015,16933,4355,8067
D182,2015,13276,1660,5871
D191,2015,8767,1731,3491
D192,2015,17851,4319,6033
D1,2050,119772,24726,48837
D2,2050,47062,12741,19712
D3,2050,118791,14631,61826
D4,2050,112606,29242,51396
D5,2050,39551,6432,11024
D6,2050,118343,23220,58276
D7,2050,33930,7265,11866
D8,2050,147248,15137,77977
D9,2050,29286,4296,12457
D10,2050,18419,2084,4257
D11,2050,58292,10101,16129
D12,2050,28703,7794,8700
D15,2050,1788,196,1116
D16,2050,1449,83,530
D17,2050,35878,10513,13959
D18,2050,30633,10521,12151
D21,2050,60051,5769,7431
D22,2050,53968,11399,11940
D23,2050,14691,4450,7784
D24,2050,24848,5172,10162
D31,2050,82333,25910,30791
D32,2050,60606,13859,29411
D33,2050,15030,3744,6096
D34,2050,65880,6549,32192
D35,2050,134136,27454,56583
D36,2050,40130,9017,19824
D41,2050,106126,23776,43925
D43,2050,84828,8997,59987
D44,2050,79479,12576,34889
D45,2050,7347,2395,3220
D46,2050,12672,2061,6943
D47,2050,21632,4898,8712
D48,2050,21937,3933,6588
D49,2050,29867,8339,11025
D51,2050,19399,8709,6633
D52,2050,31925,6924,12205
D61,2050,30674,6384,12469
D62,2050,22585,7191,10024
D71,2050,70229,19538,22641
D72,2050,136413,32034,60095
D73,2050,15502,3584,5770
D74,2050,113420,16524,40814
D75,2050,22379,6790,9740
D76,2050,30412,11142,15013
D81,2050,21371,6130,10809
D82,2050,5777,1134,3524
D83,2050,40395,10217,14467
D91,2050,5469,1087,2422
D92,2050,34537,8778,12433
D101,2050,14920,4943,4916
D102,2050,7888,1353,2607
D111,2050,3917,1045,1312
D112,2050,3783,431,732
D113,2050,3342,223,1079
D114,2050,33336,7004,11674
D121,2050,11293,2510,3625
D122,2050,5325,2001,1225
D123,2050,36646,7287,16884
D124,2050,1440,202,662
D131,2050,6193,1443,2790
D132,2050,33954,11829,10822
D133,2050,2509,1122,464
D134,2050,2128,343,756
D141,2050,8772,1260,5136
D142,2050,36160,7847,15741
D143,2050,37109,5526,14073
D151,2050,6802,822,2428
D152,2050,63094,9914,27073
D153,2050,26682,6040,7977
D163,2050,29591,7009,10454
D164,2050,1618,445,642
D171,2050,5952,1082,1413
D172,2050,1363,175,519
D173,2050,25513,7265,11892
D181,2050,16933,4355,8067
D182,2050,13276,1660,5871
D191,2050,8767,1731,3491
D192,2050,17851,4319,6033
