Geo,Year,Latitude,Longitude
D1,2015,34.09111422,-84.27984685
D2,2015,34.02489324,-84.32247317
D3,2015,33.93660361,-84.37067079
D4,2015,33.84593447,-84.39992345
D5,2015,33.78720778,-84.45627996
D6,2015,33.78376314,-84.37170565
D7,2015,33.72236724,-84.4944786
D8,2015,33.75760667,-84.38833678
D9,2015,33.70023479,-84.38243935
D10,2015,33.60394314,-84.67291154
D11,2015,33.66159745,-84.45934805
D12,2015,33.57781648,-84.55076618
D15,2015,34.28864356,-84.58402795
D16,2015,34.3415189,-84.37701043
D17,2015,34.21919169,-84.40671244
D18,2015,34.11145269,-84.54343897
D21,2015,33.62237129,-84.42875961
D22,2015,33.60410247,-84.32917211
D23,2015,33.55222516,-84.41375231
D24,2015,33.47686055,-84.34206502
D31,2015,34.01831336,-84.64697292
D32,2015,34.00449879,-84.46453929
D33,2015,33.87890332,-84.66886988
D34,2015,33.94191391,-84.55930219
D35,2015,33.88657479,-84.48423336
D36,2015,33.83014361,-84.56892664
D41,2015,33.90493045,-84.30930053
D43,2015,33.80825132,-84.30338957
D44,2015,33.83287689,-84.20677075
D45,2015,33.75240405,-84.32899511
D46,2015,33.77122006,-84.29721492
D47,2015,33.73366017,-84.27870492
D48,2015,33.74549354,-84.13434342
D49,2015,33.67336854,-84.20874951
D51,2015,33.67786792,-84.81592879
D52,2015,33.74738628,-84.676616
D61,2015,33.43048862,-84.55689296
D62,2015,33.4039486,-84.45631852
D71,2015,34.07064948,-83.98626742
D72,2015,33.96185827,-84.07617507
D73,2015,33.93592657,-83.90292378
D74,2015,33.9420893,-84.20433752
D75,2015,33.86117078,-84.12267402
D76,2015,33.83061463,-84.0138599
D81,2015,33.57024612,-84.22581731
D82,2015,33.47137998,-84.06332198
D83,2015,33.40017431,-84.19487245
D91,2015,33.61105197,-84.07559632
D92,2015,33.6919184,-83.98386009
D101,2015,34.02449966,-83.74759747
D102,2015,33.96510733,-83.68150561
D111,2015,34.30084023,-84.93011428
D112,2015,34.31874554,-84.738314
D113,2015,34.1424834,-84.94764467
D114,2015,34.16609841,-84.76190441
D121,2015,33.72418938,-84.99095089
D122,2015,33.57029699,-85.22460046
D123,2015,33.581697,-85.03267109
D124,2015,33.49070026,-84.99664689
D131,2015,33.38883224,-84.90453432
D132,2015,33.42860073,-84.72643467
D133,2015,33.27205185,-84.80556307
D134,2015,33.29542001,-84.60521637
D141,2015,34.29744188,-84.08241195
D142,2015,34.21463271,-84.13758442
D143,2015,34.11348982,-84.17523867
D151,2015,34.4089834,-83.77829345
D152,2015,34.28693684,-83.81449576
D153,2015,34.18334485,-83.90121942
D163,2015,33.55950902,-83.89610307
D164,2015,33.54612108,-83.75827362
D171,2015,34.01888803,-84.84338836
D172,2015,33.87683444,-84.9624167
D173,2015,33.87196977,-84.8102353
D181,2015,33.29689463,-84.2523421
D182,2015,33.23014194,-84.31129654
D191,2015,33.7776017,-83.84181902
D192,2015,33.78369902,-83.67537908
D1,2050,34.09111422,-84.27984685
D2,2050,34.02489324,-84.32247317
D3,2050,33.93660361,-84.37067079
D4,2050,33.84593447,-84.39992345
D5,2050,33.78720778,-84.45627996
D6,2050,33.78376314,-84.37170565
D7,2050,33.72236724,-84.4944786
D8,2050,33.75760667,-84.38833678
D9,2050,33.70023479,-84.38243935
D10,2050,33.60394314,-84.67291154
D11,2050,33.66159745,-84.45934805
D12,2050,33.57781648,-84.55076618
D15,2050,34.28864356,-84.58402795
D16,2050,34.3415189,-84.37701043
D17,2050,34.21919169,-84.40671244
D18,2050,34.11145269,-84.54343897
D21,2050,33.62237129,-84.42875961
D22,2050,33.60410247,-84.32917211
D23,2050,33.55222516,-84.41375231
D24,2050,33.47686055,-84.34206502
D31,2050,34.01831336,-84.64697292
D32,2050,34.00449879,-84.46453929
D33,2050,33.87890332,-84.66886988
D34,2050,33.94191391,-84.55930219
D35,2050,33.88657479,-84.48423336
D36,2050,33.83014361,-84.56892664
D41,2050,33.90493045,-84.30930053
D43,2050,33.80825132,-84.30338957
D44,2050,33.83287689,-84.20677075
D45,2050,33.75240405,-84.32899511
D46,2050,33.77122006,-84.29721492
D47,2050,33.73366017,-84.27870492
D48,2050,33.74549354,-84.13434342
D49,2050,33.67336854,-84.20874951
D51,2050,33.67786792,-84.81592879
D52,2050,33.74738628,-84.676616
D61,2050,33.43048862,-84.55689296
D62,2050,33.4039486,-84.45631852
D71,2050,34.07064948,-83.98626742
D72,2050,33.96185827,-84.07617507
D73,2050,33.93592657,-83.90292378
D74,2050,33.9420893,-84.20433752
D75,2050,33.86117078,-84.12267402
D76,2050,33.83061463,-84.0138599
D81,2050,33.57024612,-84.22581731
D82,2050,33.47137998,-84.06332198
D83,2050,33.40017431,-84.19487245
D91,2050,33.61105197,-84.07559632
D92,2050,33.6919184,-83.98386009
D101,2050,34.02449966,-83.74759747
D102,2050,33.96510733,-83.68150561
D111,2050,34.30084023,-84.93011428
D112,2050,34.31874554,-84.738314
D113,2050,34.1424834,-84.94764467
D114,2050,34.16609841,-84.76190441
D121,2050,33.72418938,-84.99095089
D122,2050,33.57029699,-85.22460046
D123,2050,33.581697,-85.03267109
D124,2050,33.49070026,-84.99664689
D131,2050,33.38883224,-84.90453432
D132,2050,33.42860073,-84.72643467
D133,2050,33.27205185,-84.80556307
D134,2050,33.29542001,-84.60521637
D141,2050,34.29744188,-84.08241195
D142,2050,34.21463271,-84.13758442
D143,2050,34.11348982,-84.17523867
D151,2050,34.4089834,-83.77829345
D152,2050,34.28693684,-83.81449576
D153,2050,34.18334485,-83.90121942
D163,2050,33.55950902,-83.89610307
D164,2050,33.54612108,-83.75827362
D171,2050,34.01888803,-84.84338836
D172,2050,33.87683444,-84.9624167
D173,2050,33.87196977,-84.8102353
D181,2050,33.29689463,-84.2523421
D182,2050,33.23014194,-84.31129654
D191,2050,33.7776017,-83.84181902
D192,2050,33.78369902,-83.67537908
