Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropWkrPay,PropCashOut,PkgCost.2015
D1,2015,4,4,0,0.004407258,0,0
D2,2015,4,4,0,0.004407258,0,0
D3,2015,4,4,0,0.004407258,0,0
D4,2015,4,4,0,0.004407258,0,0
D5,2015,4,4,0,0.004407258,0,0
D6,2015,4,4,0,0.004407258,0,10
D7,2015,4,4,0,0.004407258,0,0
D8,2015,4,4,0,0.004407258,0,10
D9,2015,4,4,0,0.004407258,0,0
D10,2015,4,4,0,0.004407258,0,0
D11,2015,4,4,0,0.004407258,0,0
D12,2015,4,4,0,0.004407258,0,0
D15,2015,4,4,0,0.004407258,0,0
D16,2015,4,4,0,0.004407258,0,0
D17,2015,4,4,0,0.004407258,0,0
D18,2015,4,4,0,0.004407258,0,0
D21,2015,4,4,0,0.004407258,0,0
D22,2015,4,4,0,0.004407258,0,0
D23,2015,4,4,0,0.004407258,0,0
D24,2015,4,4,0,0.004407258,0,0
D31,2015,4,4,0,0.004407258,0,0
D32,2015,4,4,0,0.004407258,0,0
D33,2015,4,4,0,0.004407258,0,0
D34,2015,4,4,0,0.004407258,0,0
D35,2015,4,4,0,0.004407258,0,0
D36,2015,4,4,0,0.004407258,0,0
D41,2015,4,4,0,0.004407258,0,0
D43,2015,4,4,0,0.004407258,0,0
D44,2015,4,4,0,0.004407258,0,0
D45,2015,4,4,0,0.004407258,0,0
D46,2015,4,4,0,0.004407258,0,0
D47,2015,4,4,0,0.004407258,0,0
D48,2015,4,4,0,0.004407258,0,0
D49,2015,4,4,0,0.004407258,0,0
D51,2015,4,4,0,0.004407258,0,0
D52,2015,4,4,0,0.004407258,0,0
D61,2015,4,4,0,0.004407258,0,0
D62,2015,4,4,0,0.004407258,0,0
D71,2015,4,4,0,0.004407258,0,0
D72,2015,4,4,0,0.004407258,0,0
D73,2015,4,4,0,0.004407258,0,0
D74,2015,4,4,0,0.004407258,0,0
D75,2015,4,4,0,0.004407258,0,0
D76,2015,4,4,0,0.004407258,0,0
D81,2015,4,4,0,0.004407258,0,0
D82,2015,4,4,0,0.004407258,0,0
D83,2015,4,4,0,0.004407258,0,0
D91,2015,4,4,0,0.004407258,0,0
D92,2015,4,4,0,0.004407258,0,0
D101,2015,4,4,0,0.004407258,0,0
D102,2015,4,4,0,0.004407258,0,0
D111,2015,4,4,0,0.004407258,0,0
D112,2015,4,4,0,0.004407258,0,0
D113,2015,4,4,0,0.004407258,0,0
D114,2015,4,4,0,0.004407258,0,0
D121,2015,4,4,0,0.004407258,0,0
D122,2015,4,4,0,0.004407258,0,0
D123,2015,4,4,0,0.004407258,0,0
D124,2015,4,4,0,0.004407258,0,0
D131,2015,4,4,0,0.004407258,0,0
D132,2015,4,4,0,0.004407258,0,0
D133,2015,4,4,0,0.004407258,0,0
D134,2015,4,4,0,0.004407258,0,0
D141,2015,4,4,0,0.004407258,0,0
D142,2015,4,4,0,0.004407258,0,0
D143,2015,4,4,0,0.004407258,0,0
D151,2015,4,4,0,0.004407258,0,0
D152,2015,4,4,0,0.004407258,0,0
D153,2015,4,4,0,0.004407258,0,0
D163,2015,4,4,0,0.004407258,0,0
D164,2015,4,4,0,0.004407258,0,0
D171,2015,4,4,0,0.004407258,0,0
D172,2015,4,4,0,0.004407258,0,0
D173,2015,4,4,0,0.004407258,0,0
D181,2015,4,4,0,0.004407258,0,0
D182,2015,4,4,0,0.004407258,0,0
D191,2015,4,4,0,0.004407258,0,0
D192,2015,4,4,0,0.004407258,0,0
D1,2050,4,4,0,0.298797133,0,0
D2,2050,4,4,0,0.298797133,0,0
D3,2050,4,4,0,0.298797133,0,0
D4,2050,4,4,0,0.298797133,0,0
D5,2050,4,4,0,0.298797133,0,0
D6,2050,4,4,0,0.298797133,0,20
D7,2050,4,4,0,0.298797133,0,0
D8,2050,4,4,0,0.298797133,0,20
D9,2050,4,4,0,0.298797133,0,0
D10,2050,4,4,0,0.298797133,0,0
D11,2050,4,4,0,0.298797133,0,0
D12,2050,4,4,0,0.298797133,0,0
D15,2050,4,4,0,0.298797133,0,0
D16,2050,4,4,0,0.298797133,0,0
D17,2050,4,4,0,0.298797133,0,0
D18,2050,4,4,0,0.298797133,0,0
D21,2050,4,4,0,0.298797133,0,0
D22,2050,4,4,0,0.298797133,0,0
D23,2050,4,4,0,0.298797133,0,0
D24,2050,4,4,0,0.298797133,0,0
D31,2050,4,4,0,0.298797133,0,0
D32,2050,4,4,0,0.298797133,0,0
D33,2050,4,4,0,0.298797133,0,0
D34,2050,4,4,0,0.298797133,0,0
D35,2050,4,4,0,0.298797133,0,0
D36,2050,4,4,0,0.298797133,0,0
D41,2050,4,4,0,0.298797133,0,0
D43,2050,4,4,0,0.298797133,0,0
D44,2050,4,4,0,0.298797133,0,0
D45,2050,4,4,0,0.298797133,0,0
D46,2050,4,4,0,0.298797133,0,0
D47,2050,4,4,0,0.298797133,0,0
D48,2050,4,4,0,0.298797133,0,0
D49,2050,4,4,0,0.298797133,0,0
D51,2050,4,4,0,0.298797133,0,0
D52,2050,4,4,0,0.298797133,0,0
D61,2050,4,4,0,0.298797133,0,0
D62,2050,4,4,0,0.298797133,0,0
D71,2050,4,4,0,0.298797133,0,0
D72,2050,4,4,0,0.298797133,0,0
D73,2050,4,4,0,0.298797133,0,0
D74,2050,4,4,0,0.298797133,0,0
D75,2050,4,4,0,0.298797133,0,0
D76,2050,4,4,0,0.298797133,0,0
D81,2050,4,4,0,0.298797133,0,0
D82,2050,4,4,0,0.298797133,0,0
D83,2050,4,4,0,0.298797133,0,0
D91,2050,4,4,0,0.298797133,0,0
D92,2050,4,4,0,0.298797133,0,0
D101,2050,4,4,0,0.298797133,0,0
D102,2050,4,4,0,0.298797133,0,0
D111,2050,4,4,0,0.298797133,0,0
D112,2050,4,4,0,0.298797133,0,0
D113,2050,4,4,0,0.298797133,0,0
D114,2050,4,4,0,0.298797133,0,0
D121,2050,4,4,0,0.298797133,0,0
D122,2050,4,4,0,0.298797133,0,0
D123,2050,4,4,0,0.298797133,0,0
D124,2050,4,4,0,0.298797133,0,0
D131,2050,4,4,0,0.298797133,0,0
D132,2050,4,4,0,0.298797133,0,0
D133,2050,4,4,0,0.298797133,0,0
D134,2050,4,4,0,0.298797133,0,0
D141,2050,4,4,0,0.298797133,0,0
D142,2050,4,4,0,0.298797133,0,0
D143,2050,4,4,0,0.298797133,0,0
D151,2050,4,4,0,0.298797133,0,0
D152,2050,4,4,0,0.298797133,0,0
D153,2050,4,4,0,0.298797133,0,0
D163,2050,4,4,0,0.298797133,0,0
D164,2050,4,4,0,0.298797133,0,0
D171,2050,4,4,0,0.298797133,0,0
D172,2050,4,4,0,0.298797133,0,0
D173,2050,4,4,0,0.298797133,0,0
D181,2050,4,4,0,0.298797133,0,0
D182,2050,4,4,0,0.298797133,0,0
D191,2050,4,4,0,0.298797133,0,0
D192,2050,4,4,0,0.298797133,0,0
